abs modul
aiter ajter
all wszytko
any dowolne
anext anastępny
bin kosz
bool wartosclog
breakpoint przerwa
bytearray tablicabajtow
bytes bajty
callable wywolywalne
chr znak
classmethod metodaklasowa
compile kompiluj
complex zlozony
dir adres
enumerate wymien
eval oblicz
exec wykonaj
filter filtruj
float wartoscruch
format formatuj
frozenset zamrozonyzestaw
global globalne
hash haszysz
help pomoc
input wprowadzic
int wartoscint
isinstance jestinstancja
issubclass jestpodklasą
iter iteracja
len dlugosc
list lista
locals lokalne
map mapa
max maks
memoryview widokpamieciowy
min minimum
next następny
object objekt
open otworz
pow potega
print drukuj
property własnosc
range zakres
reversed wywrócony
round zaokraglic
set ustaw
slice podziel
sorted sortuj
staticmethod metodastatyczna
str tekst
sum suma
super super
tuple krotka
type typ
vars zmienne
